Year,Organization Group,Job Family,Job,Salaries,Overtime,Other Salaries,Total Salary
2008,Public Protection,Correction & Detention,Deputy Sheriff,100669.17,140690.76,26700.28,268060.21
2006,Public Protection,Police Services,Deputy Chief 3,262005.2,0,6030.22,268035.42
2009,Community Health,Management,Dept Head V,267936.65,0,0,267936.65
1997,Human Welfare & Neighborhood Development,Management,Dept Head V,267936.63,0,0,267936.63
2017,General Administration & Finance,Management,Dept Head V,267936.6,0,0,267936.6
1993,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.18,60495.21,27818.02,267777.41
2016,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179760.56,61256.85,26753.9,267771.31
2004,Public Protection,Protection & Apprehension,Pub Safety Communication Coord,113013.49,137320.75,17190.8,267525.04
1999,Community Health,Medical & Dental,Senior Physician Specialist,214943.85,424.35,52071.54,267439.74
2001,Public Protection,Police Services,Deputy Chief 3,258300.01,0,9052.56,267352.57
2010,Community Health,Management,Manager VIII,266689.8,0,0,266689.8
2002,"Public Works, Transportation & Commerce",Street Transit,"Deputy Dir II, MTA",266689.8,0,0,266689.8
2014,Public Protection,Fire Services,"Lieutenant, Fire Suppression",141587.91,105350.82,19669.12,266607.85
2011,General Administration & Finance,Med Therapy & Auxiliary,Asst Med Examiner,241637.62,1740.2,23220,266597.82
2011,Community Health,Medical & Dental,Supervising Physician Spec,259779.13,0,6640,266419.13
2005,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179415.52,57826.47,28701.93,265943.92
2005,Public Protection,Fire Services,Firefighter,112889.83,133077.78,19966.73,265934.34
2008,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181157.22,53507.9,31225.75,265890.87
2003,Human Welfare & Neighborhood Development,Management,Dept Head V,265888.07,0,0,265888.07
2004,Community Health,Management,Dept Head V,265888.03,0,0,265888.03
2005,Public Protection,Correction & Detention,Senior Deputy Sheriff,111581.8,128731.51,25445.44,265758.75
2003,Public Protection,Fire Services,Firefighter,102887.86,144171.41,18660.18,265719.45
2015,Public Protection,Fire Services,"Captain, Fire Suppression",150121.44,94354.85,21083.57,265559.86
2005,Community Health,Nursing,Anesthetist,239885.38,11463.89,14194.18,265543.45
1993,Public Protection,Fire Services,"Captain, Emergency Med Svcs",149168.99,91980.74,24281.82,265431.55
2001,Community Health,Nursing,Anesthetist,244533.47,5779.55,15001.37,265314.39
1999,Public Protection,Police Services,Deputy Chief 3,108486.01,0,156773.82,265259.83
2004,"Public Works, Transportation & Commerce",Management,Dep Dir V,265020.03,0,0,265020.03
2011,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",184897.15,46913.6,33196.27,265007.02
2001,Community Health,Medical & Dental,Supervising Physician Spec,253344.7,0,11640,264984.7
1993,General Administration & Finance,Management,Controller,264936.61,0,0,264936.61
2007,General Administration & Finance,Management,Dept Head V,264936.6,0,0,264936.6
2015,Public Protection,Police Services,Inspector 3,115818.45,46220.41,102794.05,264832.91
2016,Public Protection,Correction & Detention,Deputy Sheriff,100324.27,140649.75,23715.21,264689.23
1998,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181266.56,50325.99,33091.39,264683.94
2002,Community Health,Management,Manager VIII,264591.8,0,0,264591.8
2010,Public Protection,Correction & Detention,Deputy Sheriff,91556.2,150891.54,22095.45,264543.19
2017,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181266.57,52683.75,30588.3,264538.62
2002,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181157.26,60920.69,22424.58,264502.53
2006,Community Health,Medical & Dental,Supervising Physician Spec,259779.12,0,4410,264189.12
1992,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.19,61113.48,23304.87,263882.54
2012,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181266.58,56035.82,25948.98,263251.38
2013,Public Protection,Police Services,Sergeant 3,142005.4,81537.17,39707.62,263250.19
2003,Public Protection,Police Services,Lieutenant 3,140941.59,1368.49,120879.13,263189.21
2010,Community Health,Nursing,Nursing Supervisor,222024.49,0,41139.56,263164.05
1993,Public Protection,Fire Services,"Captain, Fire Suppression",150117.22,85217.17,27743.63,263078.02
2014,Community Health,Medical & Dental,Supervising Physician Spec,208908.92,0,54052.5,262961.42
2003,Community Health,Medical & Dental,Senior Physician Specialist,216632.36,0,46294.85,262927.21
2014,General Administration & Finance,Management,Controller,262888.04,0,0,262888.04
2017,General Administration & Finance,Management,Dept Head V,262888,0,0,262888
2016,General Administration & Finance,Management,Dept Head V,262888,0,0,262888
2003,Community Health,Medical & Dental,Supervising Physician Spec,259373.12,0,3420,262793.12
2012,Public Protection,Correction & Detention,Sheriff's Sergeant,122033.43,113324.98,27395.69,262754.1
1994,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",180726.45,57827.52,24117.41,262671.38
2007,Public Protection,Fire Services,"Lieutenant, Fire Suppression",135866.55,104417.69,22317.77,262602.01
1996,Public Protection,Fire Services,"Captain, Fire Suppression",149531.78,87973.03,25001.75,262506.56
2017,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.22,56509.2,26403.53,262376.95
2017,Community Health,Nursing,Nursing Supervisor Psychiatric,226589.99,0,35764.38,262354.37
2003,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.25,56594.01,26022.16,262080.42
2007,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.17,55936.21,26571.03,261971.41
2016,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130961.04,109329.19,21497.61,261787.84
2016,Public Protection,Fire Services,"Captain, Emergency Med Svcs",150798.39,87912.67,22994.64,261705.7
1996,Community Health,Nursing,Anesthetist,233362.02,5204.72,23080.63,261647.37
2016,Public Protection,Police Services,Sergeant 3,116868.79,28518.6,116235.24,261622.63
2009,"Public Works, Transportation & Commerce",Management,Executive Contract Employee,261588.18,0,0,261588.18
1992,Community Health,Medical & Dental,Supervising Physician Spec,261469.8,0,0,261469.8
1994,Community Health,Medical & Dental,Senior Physician Specialist,227242.53,0,34086.38,261328.91
1996,Community Health,Nursing,Nursing Supervisor,219755.45,0,41457.24,261212.69
1992,Community Health,Nursing,Nursing Supervisor,219749.57,0,41457.24,261206.81
2003,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179760.52,55272.56,25978.68,261011.76
2000,Community Health,Medical & Dental,Senior Physician Specialist,216025.65,0,44931.38,260957.03
2011,Public Protection,Legal & Court,District Attorney,260907.46,0,0,260907.46
2000,Public Protection,Police Services,Commander 3,239847.4,0,20745.02,260592.42
2005,Community Health,Nursing,Anesthetist,250765.49,1541.48,8271.2,260578.17
2003,Public Protection,Fire Services,"Captain, Fire Suppression",179839.87,64140.67,16504.46,260485
2000,Community Health,Nursing,Nursing Supervisor,219750.29,0,40704.84,260455.13
2000,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),204416.7,41604.95,14365.68,260387.33
1999,"Public Works, Transportation & Commerce",Management,Dep Dir V,260289.16,0,0,260289.16
2016,Community Health,Nursing,Nursing Supervisor,210279.93,0,49993.51,260273.44
2002,Community Health,Nursing,Nurse Manager,199351.7,0,60677.76,260029.46
2011,Public Protection,Police Services,Inspector 3,130021.79,24526.77,105386.2,259934.76
1996,"Public Works, Transportation & Commerce",Port Operation,Port Director,259805.52,0,0,259805.52
2017,Community Health,Medical & Dental,Senior Physician Specialist,212299.24,338.78,47144.85,259782.87
2013,Public Protection,Fire Services,EMT/Paramedic/Firefighter,134173.76,108405.27,17169.3,259748.33
2006,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.18,56517,23728.4,259709.58
2005,Community Health,Nursing,Nursing Supervisor Psychiatric,219755.45,0,39952.44,259707.89
2002,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.18,55178.76,25062.95,259705.89
1995,Public Protection,Correction & Detention,Deputy Sheriff,100684.45,138965.43,19907.99,259557.87
2013,Community Health,Medical & Dental,Physician Assistant,187929.8,15693.76,55782.81,259406.37
1994,Community Health,Medical & Dental,Senior Physician Specialist,217947.77,349.28,40927.14,259224.19
2004,Public Protection,Fire Services,"Lieutenant, Fire Suppression",134905.11,98623.48,25670.04,259198.63
2011,Public Protection,Correction & Detention,Deputy Sheriff,100688.83,141113.11,17173.52,258975.46
2002,General Administration & Finance,Management,Dept Head IV,258867.16,0,0,258867.16
1996,Public Protection,Correction & Detention,Deputy Sheriff,96340.52,142109.64,20370.7,258820.86
2004,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",184897.12,45597.43,28276.48,258771.03
1992,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179513.56,48114.62,31071.26,258699.44
2008,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179333.1,68417.12,10842.44,258592.66
2001,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181266.62,45299.89,31975.95,258542.46
2005,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179760.49,55595.73,23158.83,258515.05
2001,Community Health,Nursing,Nursing Supervisor,216823.9,0,41641.13,258465.03
1995,"Public Works, Transportation & Commerce",Management,Dep Dir V,258457.1,0,0,258457.1
2010,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",177748.55,42078.6,38617.93,258445.08
2008,Public Protection,Fire Services,Firefighter,116099.52,123285.11,18912.92,258297.55
2003,Public Protection,Fire Services,Firefighter,112889.83,125267.94,20075.41,258233.18
2003,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179122.75,55727.66,23312.61,258163.02
2002,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.22,50280.32,28302.36,258046.9
1997,Community Health,Medical & Dental,Supervising Physician Spec,253587.61,0,4455,258042.61
2002,General Administration & Finance,Management,Dep Dir IV,258007.89,0,0,258007.89
2005,"Public Works, Transportation & Commerce",Management,Dep Dir V,257979.1,0,0,257979.1
2014,Community Health,Medical & Dental,Senior Physician Specialist,212563.6,0,45024.55,257588.15
2009,Community Health,Nursing,Nursing Supervisor,216823.91,0,40745.69,257569.6
2010,Public Protection,Police Services,Commander 3,112519.81,0,144884.63,257404.44
2002,Public Protection,Fire Services,Firefighter,113766.98,122105.86,21484.25,257357.09
1997,"Public Works, Transportation & Commerce",Street Transit,"Deputy Dir II, MTA",257345.5,0,0,257345.5
2017,Community Health,Management,Manager VIII,257345.5,0,0,257345.5
2016,"Public Works, Transportation & Commerce",Management,Dep Dir V,257342.82,0,0,257342.82
2016,Public Protection,Police Services,Sergeant 3,142483.72,104994.82,9789.2,257267.74
2001,Public Protection,Police Services,Lieutenant 3,128461.85,8752.03,120005.29,257219.17
2008,General Administration & Finance,Administrative & Mgmt (Unrep),Chief Investment Officer,257147.16,0,0,257147.16
2014,Public Protection,Fire Services,Firefighter,112703.71,124217.67,20022.66,256944.04
1992,Community Health,Nursing,Nursing Supervisor Psychiatric,216823.91,0,40069.44,256893.35
2013,Public Protection,Management,Assistant Deputy Chief 2,234490,0,22302.25,256792.25
2009,Public Protection,Fire Services,"Captain, Fire Suppression",154050.39,64642.08,38044.52,256736.99
2014,Public Protection,Fire Services,"Captain, Fire Suppression",149531.79,87099.18,19907.15,256538.12
2009,Public Protection,Police Services,Sergeant 3,148321.64,98083.35,10008.39,256413.38
1996,Public Protection,Police Services,Inspector 3,129358.38,756.67,126060.23,256175.28
1998,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",184897.14,41226.45,29914.96,256038.55
2000,Public Protection,Fire Services,"Captain, Fire Suppression",154050.46,77320.1,24641.62,256012.18
2017,Public Protection,Fire Services,"Lieutenant, Fire Suppression",106251.46,54862.72,94842.39,255956.57
2007,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130961.06,99551.09,25232.93,255745.08
2013,Public Protection,Police Services,Inspector 3,87300.3,28430.62,139921.28,255652.2
2001,Community Health,Medical & Dental,Senior Physician Specialist,241614.63,0,13922.51,255537.14
1997,Community Health,Nursing,Anesthetist,238247.33,6308.05,10891.4,255446.78
2003,Public Protection,Management,Assistant Deputy Chief 2,238266.94,0,17175.97,255442.91
1999,Community Health,Nursing,Nursing Supervisor,205981.02,0,49436.05,255417.07
1998,Public Protection,Police Services,Sergeant 3,143786.01,90802.37,20743.88,255332.26
1994,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179760.53,43033.76,32478.68,255272.97
2000,Community Health,Medical & Dental,Senior Physician Specialist,243095.47,0,12154.77,255250.24
1993,Community Health,Medical & Dental,Senior Physician Specialist,243095.4,0,12154.77,255250.17
2009,Community Health,Nursing,Anesthetist,242932.57,1352.2,10486.68,254771.45
2004,Public Protection,Police Services,Police Officer 2,116359.81,96912.24,41487.11,254759.16
2013,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",184897.14,37855.17,32001.49,254753.8
2005,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.22,49278.18,25996.87,254739.27
2010,Public Protection,Correction & Detention,Deputy Sheriff,93493.21,139912.82,21210.13,254616.16
2008,Public Protection,Police Services,Commander 3,109898.01,0,144713.97,254611.98
1993,Community Health,Medical & Dental,Senior Physician Specialist,211268.11,338.29,42850.33,254456.73
2016,Public Protection,Correction & Detention,Deputy Sheriff,102262.51,130170.73,21988,254421.24
2000,Community Health,Nursing,Nursing Supervisor,219743.31,0,34589.11,254332.42
2008,Public Protection,Police Services,Police Officer 2,118886.41,123985.58,11450.45,254322.44
2003,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",181453.55,51115.95,21691.2,254260.7
2012,Public Protection,Fire Services,"Captain, Fire Suppression",150201.84,78470.79,25457.81,254130.44
2004,Public Protection,Police Services,Deputy Chief 3,253134,0,875.06,254009.06
1995,Public Protection,Correction & Detention,Deputy Sheriff,105023.34,96668.03,52290.54,253981.91
2001,Public Protection,Fire Services,"Captain, Fire Suppression",149106.5,76539.14,28139.42,253785.06
1992,Public Protection,Fire Services,"Lieutenant, Fire Suppression",140315.22,94167.2,19262.46,253744.88
2016,Community Health,Medical & Dental,Supervising Physician Spec,249992.93,0,3555,253547.93
2008,Public Protection,Fire Services,EMT/Paramedic/Firefighter,134173.76,102268.69,16970.55,253413
2015,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179100.24,46799.48,27487.89,253387.61
2003,Community Health,Nursing,Anesthetist,214847.3,25811.84,12707.85,253366.99
1994,Community Health,Medical & Dental,Supervising Physician Spec,240414.3,0,12840,253254.3
1994,Public Protection,Fire Services,"Capt,Fire Prev Or Fire Invsgtn",234490.03,0,18759.2,253249.23
2010,Community Health,Nursing,Registered Nurse,132641.91,15251.04,105311.95,253204.9
